stateabb,ccode,year,milex,milper,irst,pec,tpop,upop,cinc,version,country
IRQ,645,1938,7824,28,0,2986,3665,361,0.001582776,2021,Iraq
IRQ,645,1939,6945,19,0,5664,3691,381,0.001477037,2021,Iraq
IRQ,645,1940,6851,-9,0,3594,3718,400,0.001227118,2021,Iraq
IRQ,645,1941,-9,-9,0,2239,3745,419,0.001392093,2021,Iraq
IRQ,645,1942,-9,-9,0,3710,3791,440,0.001593325,2021,Iraq
IRQ,645,1943,-9,-9,0,5106,3992,462,0.001816633,2021,Iraq
IRQ,645,1944,-9,-9,0,5927,4303,486,0.001904281,2021,Iraq
IRQ,645,1945,-9,-9,0,6586,4611,519,0.002049942,2021,Iraq
IRQ,645,1946,21604,51,0,6690,4803,549,0.002128151,2021,Iraq
IRQ,645,1947,21282,31,0,6724,4816,587,0.001774675,2021,Iraq
IRQ,645,1948,17574,31,0,210,4935,625,0.001297044,2021,Iraq
IRQ,645,1949,26602,31,0,562,5065,675,0.001293932,2021,Iraq
IRQ,645,1950,19602,35,0,630,5198,730,0.001310796,2021,Iraq
IRQ,645,1951,21563,38,0,899,5338,797,0.001327831,2021,Iraq
IRQ,645,1952,33044,42,0,875,5483,850,0.00131167,2021,Iraq
IRQ,645,1953,42565,46,0,1096,5635,915,0.001384469,2021,Iraq
IRQ,645,1954,46766,49,0,1389,5794,982,0.001435764,2021,Iraq
IRQ,645,1955,48166,53,0,1998,5961,1062,0.001481644,2021,Iraq
IRQ,645,1956,72249,57,0,3104,6083,1156,0.001633914,2021,Iraq
IRQ,645,1957,83170,60,0,2845,6299,1261,0.001691006,2021,Iraq
IRQ,645,1958,86810,64,0,3183,6488,1387,0.001776605,2021,Iraq
EGY,651,1938,34495,24,0,323,16295,2255,0.004287164,2021,Egypt
EGY,651,1939,11914,25,0,952,16588,2390,0.004090549,2021,Egypt
EGY,651,1940,14354,50,0,1328,16877,2549,0.004292252,2021,Egypt
EGY,651,1941,17798,-9,0,1745,17190,2700,0.005058004,2021,Egypt
EGY,651,1942,20085,-9,0,1689,17499,2861,0.005232845,2021,Egypt
EGY,651,1943,26044,-9,0,2029,17814,3020,0.005449005,2021,Egypt
EGY,651,1944,26742,-9,0,2139,18134,3182,0.005378891,2021,Egypt
EGY,651,1945,24598,-9,0,2129,18460,3349,0.00534449,2021,Egypt
EGY,651,1946,31998,50,0,2023,18792,3502,0.005811765,2021,Egypt
EGY,651,1947,32672,57,0,2116,19068,3652,0.00525729,2021,Egypt
EGY,651,1948,35576,64,0,2989,19529,3807,0.005393413,2021,Egypt
EGY,651,1949,140322,70,0,3591,19989,3969,0.00563647,2021,Egypt
EGY,651,1950,88724,74,0,3896,20461,4138,0.005484988,2021,Egypt
EGY,651,1951,94448,77,0,4065,20943,4314,0.00537012,2021,Egypt
EGY,651,1952,100172,81,0,4088,21437,4498,0.005100538,2021,Egypt
EGY,651,1953,105896,85,0,3988,21943,4689,0.005127133,2021,Egypt
EGY,651,1954,134516,88,4,4289,22460,4889,0.005176969,2021,Egypt
EGY,651,1955,203206,92,7,4151,22990,5097,0.005159281,2021,Egypt
EGY,651,1956,238369,93,6,3845,23532,5314,0.005211473,2021,Egypt
EGY,651,1957,224009,95,13,4842,24087,5541,0.005241063,2021,Egypt
EGY,651,1958,203906,107,28,5314,24655,5794,0.005321888,2021,Egypt
SYR,652,1946,14540,10,0,5,2978,555,9.35506e-4,2021,Syria
SYR,652,1947,10925,10,0,6,3025,600,8.57783e-4,2021,Syria
SYR,652,1948,12372,8,0,7,3068,647,8.55008e-4,2021,Syria
SYR,652,1949,22222,20,0,8,3135,699,9.87475e-4,2021,Syria
SYR,652,1950,31050,32,0,10,3495,740,0.00115386,2021,Syria
SYR,652,1951,31507,32,0,11,3580,788,0.001100141,2021,Syria
SYR,652,1952,31963,35,0,17,3670,836,0.001059283,2021,Syria
SYR,652,1953,39726,35,0,25,3765,885,0.00107754,2021,Syria
SYR,652,1954,34703,25,0,29,3864,935,9.91381e-4,2021,Syria
SYR,652,1955,22905,25,0,33,3967,987,9.53107e-4,2021,Syria
SYR,652,1956,45225,25,0,39,4075,1042,0.001003919,2021,Syria
SYR,652,1957,39106,60,0,32,4186,1102,0.001289315,2021,Syria
SYR,652,1958,65363,62,0,36,4307,1166,0.001362025,2021,Syria
LEB,660,1946,5111,4,0,8,1156,199,3.49933e-4,2021,Lebanon
LEB,660,1947,4512,4,0,9,1176,215,3.22883e-4,2021,Lebanon
LEB,660,1948,5059,3,0,11,1208,233,3.21138e-4,2021,Lebanon
LEB,660,1949,7828,3,0,12,1238,252,3.20997e-4,2021,Lebanon
LEB,660,1950,6606,5,0,14,1443,273,3.55407e-4,2021,Lebanon
LEB,660,1951,8100,5,0,16,1470,295,3.54138e-4,2021,Lebanon
LEB,660,1952,7964,5,0,20,1501,320,3.39036e-4,2021,Lebanon
LEB,660,1953,9593,6,0,22,1535,346,3.56212e-4,2021,Lebanon
LEB,660,1954,9819,7,0,22,1573,375,3.69174e-4,2021,Lebanon
LEB,660,1955,12081,7,0,27,1613,406,3.70799e-4,2021,Lebanon
LEB,660,1956,17344,7,0,30,1657,439,3.88466e-4,2021,Lebanon
LEB,660,1957,17846,9,0,35,1703,475,4.13197e-4,2021,Lebanon
LEB,660,1958,20812,9,0,36,1752,515,4.24627e-4,2021,Lebanon
JOR,663,1946,6385,8,0,0,1086,0,2.17655e-4,2021,Jordan
JOR,663,1947,6950,8,0,0,1122,0,2.1483e-4,2021,Jordan
JOR,663,1948,6906,8,0,0,1159,0,2.19021e-4,2021,Jordan
JOR,663,1949,11201,14,0,0,1197,0,2.79617e-4,2021,Jordan
JOR,663,1950,14002,15,0,0,1237,0,2.91399e-4,2021,Jordan
JOR,663,1951,24083,15,0,0,1279,0,2.82859e-4,2021,Jordan
JOR,663,1952,25483,15,0,0,1320,103,3.1735e-4,2021,Jordan
JOR,663,1953,27723,15,0,0,1360,108,3.18292e-4,2021,Jordan
JOR,663,1954,28563,15,0,0,1395,119,3.22295e-4,2021,Jordan
JOR,663,1955,29404,15,0,0,1437,132,3.23787e-4,2021,Jordan
JOR,663,1956,35844,25,0,2,1482,146,4.22369e-4,2021,Jordan
JOR,663,1957,37525,36,0,2,1542,162,5.22776e-4,2021,Jordan
JOR,663,1958,44525,46,0,3,1593,179,6.29571e-4,2021,Jordan
ISR,666,1938,NA,NA,NA,NA,NA,NA,0.0015014763181818228,NA,Israel
ISR,666,1939,NA,NA,NA,NA,NA,NA,0.001481355636363646,NA,Israel
ISR,666,1940,NA,NA,NA,NA,NA,NA,0.0014612349545454623,NA,Israel
ISR,666,1941,NA,NA,NA,NA,NA,NA,0.0014411142727272785,NA,Israel
ISR,666,1942,NA,NA,NA,NA,NA,NA,0.0014209935909090948,NA,Israel
ISR,666,1943,NA,NA,NA,NA,NA,NA,0.001400872909090918,NA,Israel
ISR,666,1944,NA,NA,NA,NA,NA,NA,0.0013807522272727343,NA,Israel
ISR,666,1945,NA,NA,NA,NA,NA,NA,0.0013606315454545506,NA,Israel
ISR,666,1946,NA,NA,NA,NA,NA,NA,0.001340510863636367,NA,Israel
ISR,666,1947,NA,NA,NA,NA,NA,NA,0.0013203901818181901,NA,Israel
ISR,666,1948,44444,85,0,32,873,244,0.001413485,2021,Israel
ISR,666,1949,53659,82,0,40,1066,248,0.001288313,2021,Israel
ISR,666,1950,41176,78,0,57,1258,535,0.001331942,2021,Israel
ISR,666,1951,42857,75,0,76,1516,596,0.001225113,2021,Israel
ISR,666,1952,20332,75,0,100,1607,630,0.001098016,2021,Israel
ISR,666,1953,21586,75,0,112,1651,639,0.001085944,2021,Israel
ISR,666,1954,20920,75,4,132,1688,652,0.001070124,2021,Israel
ISR,666,1955,27014,75,8,1501,1748,655,0.001127875,2021,Israel
ISR,666,1956,52814,75,12,1507,1824,668,0.001185576,2021,Israel
ISR,666,1957,71765,70,16,1555,1895,679,0.001180827,2021,Israel
ISR,666,1958,94643,65,20,1755,1965,694,0.001189112,2021,Israel
